dataset,recommender,HR@5,NDCG@5,HR@10,NDCG@10,panel,ndcg.mean (utility),ndcg.min (fairness),ndcg.minmax (balance)
CAMRa2011,EASE+AVG,0.5544827586206896,0.3533290523757749,0.7744827586206896,0.4252618721798333,coupled,,,
CAMRa2011,EASE+GFAR,0.5868965517241379,0.3889966456909105,0.7965517241379311,0.45731012240585484,coupled,,,
CAMRa2011,NCF,0.6179310344827587,0.4137672064857008,0.8131034482758621,0.4777270226677287,coupled,,,
CAMRa2011,AGREE,0.6248275862068966,0.4104349110519143,0.8068965517241379,0.4697428508989425,coupled,,,
CAMRa2011,GroupIM,0.6296551724137931,0.4267893101066386,0.8124137931034483,0.48666609825562224,coupled,,,
CAMRa2011,HyperGroup,0.5717241379310345,0.35900515229367636,0.8027586206896552,0.4348019818780123,coupled,,,
CAMRa2011,ConsRec,0.6262068965517241,0.40264060669924834,0.8124137931034483,0.4634770909382748,coupled,,,
CAMRa2011,AlignGroup,0.5889655172413794,0.38678493271228287,0.7979310344827586,0.4547624161302521,coupled,,,
Mafengwo,EASE+AVG,0.19497487437185929,0.15501979444069583,0.2562814070351759,0.17494906285523298,coupled,,,
Mafengwo,EASE+GFAR,0.4030150753768844,0.2896492728032284,0.6562814070351759,0.3699724185920055,coupled,,,
Mafengwo,NCF,0.6914572864321608,0.5435189221287255,0.8170854271356784,0.5846983539358085,coupled,,,
Mafengwo,AGREE,0.6954773869346733,0.5662225944978723,0.7788944723618091,0.5932874607767165,coupled,,,
Mafengwo,GroupIM,0.6371859296482412,0.5019258585559336,0.7286432160804021,0.5315618081946345,coupled,,,
Mafengwo,HyperGroup,0.7035175879396985,0.545825891146534,0.8231155778894472,0.5840265314173314,coupled,,,
Mafengwo,ConsRec,0.9316582914572864,0.9316582914572864,0.9316582914572864,0.9316582914572864,coupled,,,
Mafengwo,AlignGroup,0.878391959798995,0.6946508800450635,0.9778894472361809,0.7277943863511785,coupled,,,
ml-100k,LTP,,,,,decoupled,0.32948559853705717,0.26686443087310935,0.6901516802776929
ml-100k,RLProp,,,,,decoupled,0.32948559853705717,0.26686443087310935,0.6901516802776929
ml-100k,EPFuzzDA,,,,,decoupled,0.32948559853705717,0.26686443087310935,0.6901516802776929
ml-100k,GreedyLM,,,,,decoupled,0.32212483002082404,0.26164522235155513,0.6845791670604834
ml-100k,AVG,,,,,decoupled,0.34882556175031876,0.21657214327699537,0.4605107206778722
ml-100k,LMS,,,,,decoupled,0.2697709939921371,0.19250931574848226,0.5518269170391841
ml-100k,GFAR,,,,,decoupled,0.2730044682071553,0.12269026106041987,0.2801713690154411
